"Security Check","Security Check"
"Secure connection","Secure connection"
"Security check","Security check"
"Verifying your access","Verifying your access"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","We're automatically verifying that your connection is secure – this usually only takes a moment."
"Connection","Connection"
"Secure","Secure"
"Request","Request"
"Confirmed","Confirmed"
"Human verification","Human verification"
"Checking","Checking"
"Additional verification required","Additional verification required"
"Confirm you're human","Confirm you're human"
"Check %1 below to continue","Check %1 below to continue"
"the box","the box"
"I'm not a robot","I'm not a robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Having trouble? Try reloading the page and/or disabling browser extensions."
"Verification failed. Please try reloading the page.","Verification failed. Please try reloading the page."
"If the issue persists, please contact our customer service at %1","If the issue persists, please contact our customer service at %1"
"Try again","Try again"
"Verifying connection…","Verifying connection…"
"Awaiting your verification","Awaiting your verification"
"Privacy policy","Privacy policy"
"Terms of service","Terms of service"
"Cookies","Cookies"
"Verification failed. Please try again.","Verification failed. Please try again."
"AND","AND"
"OR","OR"
"AND / OR","AND / OR"
"Field","Field"
"Operator","Operator"
"Value","Value"
"Add condition","Add condition"
"Filter expression","Filter expression"
"Full Action Name","Full Action Name"
"Request URI (path + query)","Request URI (path + query)"
"URI Path","URI Path"
"Query String","Query String"
"HTTP Method","HTTP Method"
"Hostname","Hostname"
"Client IP","Client IP"
"User Agent","User Agent"
"Referer","Referer"
"Active Param Count (non-ignored)","Active Param Count (non-ignored)"
"Blocked by robots.txt","Blocked by robots.txt"
"Is AJAX Request","Is AJAX Request"
"Is 404 (No-Route) Page","Is 404 (No-Route) Page"
"The URL did not match a rewrite, route or CMS page — simulated as the 404 no-route action.","The URL did not match a rewrite, route or CMS page — simulated as the 404 no-route action."
"equals","equals"
"does not equal","does not equal"
"contains","contains"
"does not contain","does not contain"
"starts with","starts with"
"ends with","ends with"
"matches regex","matches regex"
"does not match regex","does not match regex"
"is in list","is in list"
"is not in list","is not in list"
"greater than","greater than"
"greater than or equal","greater than or equal"
"less than","less than"
"less than or equal","less than or equal"
"Invisible Captcha & Bot Protection","Invisible Captcha & Bot Protection"
"Active Provider","Active Provider"
"Form Protection","Form Protection"
"Route Protection","Route Protection"
"Cloudflare Turnstile","Cloudflare Turnstile"
"Google reCAPTCHA v2 (""I'm not a robot"" checkbox)","Google reCAPTCHA v2 (""I'm not a robot"" checkbox)"
"Google reCAPTCHA v2 (invisible badge)","Google reCAPTCHA v2 (invisible badge)"
"Google reCAPTCHA v3 (invisible, score-based)","Google reCAPTCHA v3 (invisible, score-based)"
"Google reCAPTCHA Enterprise (score-based)","Google reCAPTCHA Enterprise (score-based)"
"Yes","Yes"
"No","No"
"Add value…","Add value…"
"Remove value","Remove value"
"Enter a number.","Enter a number."
"Enter a regular expression.","Enter a regular expression."
"This is not a valid regular expression.","This is not a valid regular expression."
"Enter one or more values, separated by commas.","Enter one or more values, separated by commas."
"Every list item must be a number.","Every list item must be a number."
"Enter a value — an empty one never matches.","Enter a value — an empty one never matches."
"This value looks invalid for the selected field.","This value looks invalid for the selected field."
"Enter a valid IPv4 or IPv6 address.","Enter a valid IPv4 or IPv6 address."
"Enter an HTTP method name, e.g. GET or POST.","Enter an HTTP method name, e.g. GET or POST."
"Full action names contain only letters, digits and underscores.","Full action names contain only letters, digits and underscores."
"Test Rules","Test Rules"
"Simulate a storefront request against the rules above (unsaved changes included).","Simulate a storefront request against the rules above (unsaved changes included)."
"URL or path","URL or path"
"/checkout/cart or https://example.com/lamps?price=10-20","/checkout/cart or https://example.com/lamps?price=10-20"
"Store View","Store View"
"Method","Method"
"User-Agent","User-Agent"
"Client IP","Client IP"
"Referer","Referer"
"Full Action Name","Full Action Name"
"auto-detected — override e.g. catalog_product_view","auto-detected — override e.g. catalog_product_view"
"Run Test","Run Test"
"Testing…","Testing…"
"CHALLENGE — this request would get the captcha interstitial","CHALLENGE — this request would get the captcha interstitial"
"MATCHED — but no challenge would fire","MATCHED — but no challenge would fire"
"PASS — the rules do not match this request","PASS — the rules do not match this request"
"matched","matched"
"not matched","not matched"
"Group","Group"
"actual","actual"
"Resolved field values","Resolved field values"
"The test request failed. Check the logs and try again.","The test request failed. Check the logs and try again."
"the client IP is on the Excluded IPs list","the client IP is on the Excluded IPs list"
"the user agent is on the Excluded User Agents list","the user agent is on the Excluded User Agents list"
"the path is on the Excluded Paths list","the path is on the Excluded Paths list"
"the verify endpoint is never gated","the verify endpoint is never gated"
"route protection is disabled in this scope","route protection is disabled in this scope"
"the route-gate provider is not configured","the route-gate provider is not configured"
"Enter a URL or path to test.","Enter a URL or path to test."
"Rule test failed: %1","Rule test failed: %1"
"%1 rule row(s) are incomplete or unknown and were skipped.","%1 rule row(s) are incomplete or unknown and were skipped."
"The rule expression is empty — the challenge never fires.","The rule expression is empty — the challenge never fires."
"The full action name could not be resolved for this URL, so ""Full Action Name"" conditions were evaluated against an empty value. Enter it manually for exact results.","The full action name could not be resolved for this URL, so ""Full Action Name"" conditions were evaluated against an empty value. Enter it manually for exact results."
