"Security Check","Controllo di sicurezza"
"Secure connection","Connessione sicura"
"Security check","Controllo di sicurezza"
"Verifying your access","Verifica del tuo accesso"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Stiamo verificando automaticamente che la tua connessione sia sicura – di solito richiede solo un momento."
"Connection","Connessione"
"Secure","Sicura"
"Request","Richiesta"
"Confirmed","Confermata"
"Human verification","Verifica umana"
"Checking","Verifica in corso"
"Additional verification required","È richiesta una verifica aggiuntiva"
"Confirm you're human","Conferma di essere umano"
"Check %1 below to continue","Seleziona %1 qui sotto per continuare"
"the box","la casella"
"I'm not a robot","Non sono un robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Problemi? Prova a ricaricare la pagina e/o a disattivare le estensioni del browser."
"Verification failed. Please try reloading the page.","Verifica non riuscita. Prova a ricaricare la pagina."
"If the issue persists, please contact our customer service at %1","Se il problema persiste, contatta il nostro servizio clienti all'indirizzo %1"
"Try again","Riprova"
"Verifying connection…","Verifica della connessione…"
"Awaiting your verification","In attesa della tua verifica"
"Privacy policy","Informativa sulla privacy"
"Terms of service","Termini di servizio"
"Cookies","Cookie"
"Verification failed. Please try again.","Verifica non riuscita. Per favore riprova."
