"Security Check","Beveiligingscontrole"
"Secure connection","Beveiligde verbinding"
"Security check","Beveiligingscontrole"
"Verifying your access","Uw toegang wordt geverifieerd"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","We verifiëren automatisch of uw verbinding veilig is – dit duurt meestal maar een moment."
"Connection","Verbinding"
"Secure","Beveiligd"
"Request","Verzoek"
"Confirmed","Bevestigd"
"Human verification","Menselijke verificatie"
"Checking","Bezig met controleren"
"Additional verification required","Aanvullende verificatie vereist"
"Confirm you're human","Bevestig dat u een mens bent"
"Check %1 below to continue","Vink %1 hieronder aan om door te gaan"
"the box","het vakje"
"I'm not a robot","Ik ben geen robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Problemen? Probeer de pagina opnieuw te laden en/of browserextensies uit te schakelen."
"Verification failed. Please try reloading the page.","Verificatie mislukt. Probeer de pagina opnieuw te laden."
"If the issue persists, please contact our customer service at %1","Als het probleem aanhoudt, neem dan contact op met onze klantenservice via %1"
"Try again","Opnieuw proberen"
"Verifying connection…","Verbinding verifiëren…"
"Awaiting your verification","Wachten op uw verificatie"
"Privacy policy","Privacybeleid"
"Terms of service","Servicevoorwaarden"
"Cookies","Cookies"
"Verification failed. Please try again.","Verificatie mislukt. Probeer het opnieuw."
