"Security Check","Security Check"
"Secure connection","Secure connection"
"Security check","Security check"
"Verifying your access","Verifying your access"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","We're automatically verifying that your connection is secure – this usually only takes a moment."
"Connection","Connection"
"Secure","Secure"
"Request","Request"
"Confirmed","Confirmed"
"Human verification","Human verification"
"Checking","Checking"
"Additional verification required","Additional verification required"
"Confirm you're human","Confirm you're human"
"Check %1 below to continue","Check %1 below to continue"
"the box","the box"
"I'm not a robot","I'm not a robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Having trouble? Try reloading the page and/or disabling browser extensions."
"Verification failed. Please try reloading the page.","Verification failed. Please try reloading the page."
"If the issue persists, please contact our customer service at %1","If the issue persists, please contact our customer service at %1"
"Try again","Try again"
"Verifying connection…","Verifying connection…"
"Awaiting your verification","Awaiting your verification"
"Privacy policy","Privacy policy"
"Terms of service","Terms of service"
"Cookies","Cookies"
"Verification failed. Please try again.","Verification failed. Please try again."
