"Security Check","Turvakontroll"
"Secure connection","Turvaline ühendus"
"Security check","Turvakontroll"
"Verifying your access","Teie juurdepääsu kontrollimine"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Kontrollime automaatselt, kas teie ühendus on turvaline – tavaliselt võtab see vaid hetke."
"Connection","Ühendus"
"Secure","Turvaline"
"Request","Päring"
"Confirmed","Kinnitatud"
"Human verification","Inimese kontroll"
"Checking","Kontrollimine"
"Additional verification required","Vajalik on täiendav kontroll"
"Confirm you're human","Kinnitage, et olete inimene"
"Check %1 below to continue","Märkige %1 allpool, et jätkata"
"the box","ruut"
"I'm not a robot","Ma ei ole robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Kas teil on probleeme? Proovige lehte uuesti laadida ja/või keelata brauserilaiendused."
"Verification failed. Please try reloading the page.","Kinnitamine ebaõnnestus. Proovige lehte uuesti laadida."
"If the issue persists, please contact our customer service at %1","Kui probleem püsib, võtke ühendust meie klienditeenindusega aadressil %1"
"Try again","Proovi uuesti"
"Verifying connection…","Ühenduse kontrollimine…"
"Awaiting your verification","Ootame teie kinnitust"
"Privacy policy","Privaatsuspoliitika"
"Terms of service","Kasutustingimused"
"Cookies","Küpsised"
"Verification failed. Please try again.","Kinnitamine ebaõnnestus. Palun proovige uuesti."
