"Security Check","Sikkerhetskontroll"
"Secure connection","Sikker tilkobling"
"Security check","Sikkerhetskontroll"
"Verifying your access","Verifiserer tilgangen din"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Vi verifiserer automatisk at tilkoblingen din er sikker – dette tar vanligvis bare et øyeblikk."
"Connection","Tilkobling"
"Secure","Sikker"
"Request","Forespørsel"
"Confirmed","Bekreftet"
"Human verification","Menneskelig verifisering"
"Checking","Kontrollerer"
"Additional verification required","Ytterligere verifisering kreves"
"Confirm you're human","Bekreft at du er et menneske"
"Check %1 below to continue","Merk av %1 nedenfor for å fortsette"
"the box","boksen"
"I'm not a robot","Jeg er ikke en robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Problemer? Prøv å laste inn siden på nytt og/eller deaktivere nettleserutvidelser."
"Verification failed. Please try reloading the page.","Verifisering mislyktes. Prøv å laste inn siden på nytt."
"If the issue persists, please contact our customer service at %1","Hvis problemet vedvarer, kontakt vår kundeservice på %1"
"Try again","Prøv igjen"
"Verifying connection…","Verifiserer tilkobling…"
"Awaiting your verification","Venter på din verifisering"
"Privacy policy","Personvernerklæring"
"Terms of service","Vilkår for bruk"
"Cookies","Cookies"
"Verification failed. Please try again.","Verifisering mislyktes. Vennligst prøv igjen."
