"Security Check","Drošības pārbaude"
"Secure connection","Drošs savienojums"
"Security check","Drošības pārbaude"
"Verifying your access","Notiek jūsu piekļuves pārbaude"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Mēs automātiski pārbaudām, vai jūsu savienojums ir drošs – parasti tas aizņem tikai mirkli."
"Connection","Savienojums"
"Secure","Drošs"
"Request","Pieprasījums"
"Confirmed","Apstiprināts"
"Human verification","Cilvēka pārbaude"
"Checking","Notiek pārbaude"
"Additional verification required","Nepieciešama papildu pārbaude"
"Confirm you're human","Apstipriniet, ka esat cilvēks"
"Check %1 below to continue","Atzīmējiet %1 zemāk, lai turpinātu"
"the box","rūtiņu"
"I'm not a robot","Es neesmu robots"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Radušās problēmas? Mēģiniet pārlādēt lapu un/vai atspējot pārlūka paplašinājumus."
"Verification failed. Please try reloading the page.","Pārbaude neizdevās. Mēģiniet pārlādēt lapu."
"If the issue persists, please contact our customer service at %1","Ja problēma saglabājas, lūdzu, sazinieties ar mūsu klientu apkalpošanas dienestu, rakstot uz %1"
"Try again","Mēģināt vēlreiz"
"Verifying connection…","Notiek savienojuma pārbaude…"
"Awaiting your verification","Gaida jūsu apstiprinājumu"
"Privacy policy","Privātuma politika"
"Terms of service","Pakalpojuma noteikumi"
"Cookies","Sīkdatnes"
"Verification failed. Please try again.","Pārbaude neizdevās. Lūdzu, mēģiniet vēlreiz."
