"Security Check","Verificare de securitate"
"Secure connection","Conexiune securizată"
"Security check","Verificare de securitate"
"Verifying your access","Se verifică accesul dumneavoastră"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Verificăm automat dacă conexiunea dumneavoastră este securizată – de obicei durează doar o clipă."
"Connection","Conexiune"
"Secure","Securizată"
"Request","Cerere"
"Confirmed","Confirmată"
"Human verification","Verificare umană"
"Checking","Se verifică"
"Additional verification required","Este necesară o verificare suplimentară"
"Confirm you're human","Confirmați că sunteți om"
"Check %1 below to continue","Bifați %1 de mai jos pentru a continua"
"the box","căsuța"
"I'm not a robot","Nu sunt robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Aveți probleme? Încercați să reîncărcați pagina și/sau să dezactivați extensiile browserului."
"Verification failed. Please try reloading the page.","Verificarea a eșuat. Încercați să reîncărcați pagina."
"If the issue persists, please contact our customer service at %1","Dacă problema persistă, contactați serviciul nostru de relații cu clienții la %1"
"Try again","Încercați din nou"
"Verifying connection…","Se verifică conexiunea…"
"Awaiting your verification","Se așteaptă verificarea dumneavoastră"
"Privacy policy","Politica de confidențialitate"
"Terms of service","Termeni și condiții"
"Cookies","Cookie-uri"
"Verification failed. Please try again.","Verificarea a eșuat. Vă rugăm să încercați din nou."
