"Security Check","Проверка за сигурност"
"Secure connection","Защитена връзка"
"Security check","Проверка за сигурност"
"Verifying your access","Проверка на вашия достъп"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Автоматично проверяваме дали връзката ви е защитена – обикновено това отнема само момент."
"Connection","Връзка"
"Secure","Защитена"
"Request","Заявка"
"Confirmed","Потвърдена"
"Human verification","Човешка проверка"
"Checking","Проверява се"
"Additional verification required","Изисква се допълнителна проверка"
"Confirm you're human","Потвърдете, че сте човек"
"Check %1 below to continue","Отметнете %1 по-долу, за да продължите"
"the box","квадратчето"
"I'm not a robot","Не съм робот"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Имате проблеми? Опитайте да презаредите страницата и/или да деактивирате разширенията на браузъра."
"Verification failed. Please try reloading the page.","Проверката не успя. Опитайте да презаредите страницата."
"If the issue persists, please contact our customer service at %1","Ако проблемът продължава, моля, свържете се с нашето обслужване на клиенти на %1"
"Try again","Опитайте отново"
"Verifying connection…","Проверка на връзката…"
"Awaiting your verification","Изчакване на вашата проверка"
"Privacy policy","Политика за поверителност"
"Terms of service","Условия за ползване"
"Cookies","Бисквитки"
"Verification failed. Please try again.","Проверката не успя. Моля, опитайте отново."
