"Security Check","Bezpečnostní kontrola"
"Secure connection","Zabezpečené připojení"
"Security check","Bezpečnostní kontrola"
"Verifying your access","Ověřování přístupu"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Automaticky ověřujeme, zda je vaše připojení zabezpečené – obvykle to trvá jen okamžik."
"Connection","Připojení"
"Secure","Zabezpečené"
"Request","Požadavek"
"Confirmed","Potvrzeno"
"Human verification","Ověření člověka"
"Checking","Probíhá kontrola"
"Additional verification required","Vyžaduje se další ověření"
"Confirm you're human","Potvrďte, že jste člověk"
"Check %1 below to continue","Zaškrtněte %1 níže a pokračujte"
"the box","políčko"
"I'm not a robot","Nejsem robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Máte potíže? Zkuste znovu načíst stránku a/nebo zakázat rozšíření prohlížeče."
"Verification failed. Please try reloading the page.","Ověření se nezdařilo. Zkuste prosím znovu načíst stránku."
"If the issue persists, please contact our customer service at %1","Pokud problém přetrvává, kontaktujte prosím náš zákaznický servis na adrese %1"
"Try again","Zkusit znovu"
"Verifying connection…","Ověřování připojení…"
"Awaiting your verification","Čekání na vaše ověření"
"Privacy policy","Zásady ochrany osobních údajů"
"Terms of service","Podmínky služby"
"Cookies","Soubory cookie"
"Verification failed. Please try again.","Ověření se nezdařilo. Zkuste to prosím znovu."
