"Security Check","Sikkerhedskontrol"
"Secure connection","Sikker forbindelse"
"Security check","Sikkerhedskontrol"
"Verifying your access","Bekræfter din adgang"
"We're automatically verifying that your connection is secure – this usually only takes a moment.","Vi bekræfter automatisk, at din forbindelse er sikker – det tager normalt kun et øjeblik."
"Connection","Forbindelse"
"Secure","Sikker"
"Request","Anmodning"
"Confirmed","Bekræftet"
"Human verification","Menneskelig verifikation"
"Checking","Kontrollerer"
"Additional verification required","Yderligere verifikation kræves"
"Confirm you're human","Bekræft, at du er et menneske"
"Check %1 below to continue","Markér %1 nedenfor for at fortsætte"
"the box","feltet"
"I'm not a robot","Jeg er ikke en robot"
"Having trouble? Try reloading the page and/or disabling browser extensions.","Problemer? Prøv at genindlæse siden og/eller deaktivere browserudvidelser."
"Verification failed. Please try reloading the page.","Verifikation mislykkedes. Prøv at genindlæse siden."
"If the issue persists, please contact our customer service at %1","Hvis problemet fortsætter, bedes du kontakte vores kundeservice på %1"
"Try again","Prøv igen"
"Verifying connection…","Bekræfter forbindelse…"
"Awaiting your verification","Afventer din verifikation"
"Privacy policy","Privatlivspolitik"
"Terms of service","Handelsbetingelser"
"Cookies","Cookies"
"Verification failed. Please try again.","Verifikation mislykkedes. Prøv venligst igen."
